source_journal_name,target_journal_name,source_count,target_count,group_total_count,confidence,reason,generated_date
Economic geography,Economic Geography,6,4946,4952,high,case_only,2026-05-12
The Public historian,The Public Historian,297,4655,4952,high,case_only,2026-05-12
Annals of Clinical Biochemistry International Journal of Laboratory Medicine,Annals of Clinical Biochemistry: International Journal of Laboratory Medicine,295,4656,4951,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Transactions American Geophysical Union,"Transactions, American Geophysical Union",171,4774,4945,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Physics letters,Physics Letters,4,4939,4943,high,case_only,2026-05-12
Nature Reviews Genetics,Nature reviews genetics,1933,3006,4939,high,case_only,2026-05-12
"International journal of scientific research in computer science, engineering and information technology",International Journal of Scientific Research in Computer Science Engineering and Information Technology,1615,3317,4932,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"International Journal of Scientific Research in Computer Science, Engineering and Information Technology",International Journal of Scientific Research in Computer Science Engineering and Information Technology,6,3317,3323,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Clinical toxicology,Clinical Toxicology,1291,3645,4936,high,case_only,2026-05-12
Biotechnology law report,Biotechnology Law Report,70,4862,4932,high,case_only,2026-05-12
Biological chemistry,Biological Chemistry,500,4430,4930,high,case_only,2026-05-12
JCI InsightActionsSearch in PubMedSearch in NLM CatalogAdd to Search,JCI Insight,103,4826,4929,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Economic Record,Economic Record,111,4815,4926,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
BIOTROPICA,Biotropica,363,4562,4925,high,case_only,2026-05-12
The Muslim world,The Muslim World,46,4879,4925,high,case_only,2026-05-12
spie newsroom,SPIE Newsroom,11,4903,4914,high,case_only,2026-05-12
Spie Newsroom,SPIE Newsroom,8,4903,4911,high,case_only,2026-05-12
Energy storage materials,Energy Storage Materials,2071,2849,4920,high,case_only,2026-05-12
Civil War history,Civil War History,50,4868,4918,high,case_only,2026-05-12
The Prostaglandins,Prostaglandins,4,4913,4917,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Transportation Research Part C Emerging Technologies,Transportation Research Part C: Emerging Technologies,206,4711,4917,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Brain and behavior,Brain and Behavior,11,4904,4915,high,case_only,2026-05-12
Wireless networks,Wireless Networks,277,4637,4914,high,case_only,2026-05-12
Current topics in medicinal chemistry,Current Topics in Medicinal Chemistry,1,4911,4912,high,case_only,2026-05-12
JDDG Journal der Deutschen Dermatologischen Gesellschaft,JDDG: Journal der Deutschen Dermatologischen Gesellschaft,460,4452,4912,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Foundations of physics,Foundations of Physics,90,4820,4910,high,case_only,2026-05-12
American Journal of Case Reports,The American journal of case reports,743,4166,4909,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Aaps Pharmscitech,AAPS PharmSciTech,1,4905,4906,high,case_only,2026-05-12
ARKIVOC,Arkivoc,1194,3708,4902,high,case_only,2026-05-12
Journal of Pharmacy And Bioallied Sciences,Journal of Pharmacy and Bioallied Sciences,469,4429,4898,high,case_only,2026-05-12
RUSI Journal,The RUSI Journal,39,4859,4898,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Ageing & Society,Ageing and Society,45,4850,4895,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of molluscan studies,Journal of Molluscan Studies,120,4767,4887,high,case_only,2026-05-12
Arthroscopy,ArthroscopyActionsSearch in PubMedSearch in NLM CatalogAdd to Search,5,4881,4886,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Color Research & Application,Color Research and Application,1317,2314,3631,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Color Research &amp; Application,Color Research and Application,1255,2314,3569,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Nature Reviews Immunology,Nature reviews. Immunology,4,4882,4886,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Clinical neuropharmacology,Clinical Neuropharmacology,278,4604,4882,high,case_only,2026-05-12
The Southwestern naturalist,The Southwestern Naturalist,128,4753,4881,high,case_only,2026-05-12
The Nursing Clinics of North America,Nursing Clinics of North America,270,4606,4876,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
AutophagyActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Autophagy,10,4862,4872,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
JACC: Case Reports,JACC Case Reports,483,4389,4872,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
ACS applied electronic materials,ACS Applied Electronic Materials,15,4856,4871,high,case_only,2026-05-12
Asia-pacific Journal of Multimedia services convergent with Art Humanities and Sociology,"Asia-pacific Journal of Multimedia services convergent with Art, Humanities, and Sociology",1106,3761,4867,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Asia-pacific Journal of Multimedia Services Convergent with Art, Humanities, and Sociology","Asia-pacific Journal of Multimedia services convergent with Art, Humanities, and Sociology",4,3761,3765,high,case_only,2026-05-12
国际医药卫生导报 | International Medicine and Health Guidance News,国际医药卫生导报 | INTERNATIONAL MEDICINE & HEALTH GUIDANCE NEWS,2216,2654,4870,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Negro Education,The Journal of Negro Education,2,4864,4866,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of Negro education,The Journal of Negro Education,2,4864,4866,high,case_only,2026-05-12
Federal Grants & Contracts,Federal Grants &amp; Contracts,1559,2563,4122,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Federal Grants and Contracts,Federal Grants &amp; Contracts,744,2563,3307,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Community mental health journal,Community Mental Health Journal,163,4702,4865,high,case_only,2026-05-12
"IEEE Transactions on Components, Packaging, and Manufacturing Technology","IEEE Transactions on Components, Packaging and Manufacturing Technology",1744,2721,4465,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
IEEE Transactions on Components Packaging and Manufacturing Technology,"IEEE Transactions on Components, Packaging and Manufacturing Technology",399,2721,3120,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Kobunshi Ronbunshu,KOBUNSHI RONBUNSHU,3,4859,4862,high,case_only,2026-05-12
Nature Reviews Molecular Cell Biology,Nature reviews. Molecular cell biology,2013,2849,4862,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Mechanics research communications,Mechanics Research Communications,224,4634,4858,high,case_only,2026-05-12
Soil Science & Plant Nutrition,Soil Science and Plant Nutrition,68,4784,4852,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Soil Science &amp; Plant Nutrition,Soil Science and Plant Nutrition,6,4784,4790,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Australian & New Zealand Journal of Psychiatry,Australian and New Zealand Journal of Psychiatry,2078,2518,4596,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Australian &amp; New Zealand Journal of Psychiatry,Australian and New Zealand Journal of Psychiatry,253,2518,2771,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Australian and New Zealand journal of psychiatry,Australian and New Zealand Journal of Psychiatry,6,2518,2524,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Cancer Causes and Control,Cancer Causes & Control,150,4704,4854,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
DTSSEHS,dtssehs,5,4848,4853,high,case_only,2026-05-12
Iii-vs Review,III-Vs Review,2,4851,4853,high,case_only,2026-05-12
Faraday discussions,Faraday Discussions,923,3924,4847,high,case_only,2026-05-12
Journal of reinforced plastics and composites,Journal of Reinforced Plastics and Composites,395,4451,4846,high,case_only,2026-05-12
Higher education,Higher Education,283,4560,4843,high,case_only,2026-05-12
Linear and multilinear algebra,Linear and Multilinear Algebra,287,4552,4839,high,case_only,2026-05-12
Journal of Food Measurement and Characterization,Journal of Food Measurement & Characterization,1659,3178,4837,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Drug Intelligence & Clinical Pharmacy,Drug Intelligence &amp; Clinical Pharmacy,686,4133,4819,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Jornal de pediatria,Jornal de Pediatria,1,4812,4813,high,case_only,2026-05-12
Jornal De Pediatria,Jornal de Pediatria,1,4812,4813,high,case_only,2026-05-12
Sociology of Health & Illness,Sociology of Health and Illness,1269,3077,4346,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Sociology of Health &amp; Illness,Sociology of Health and Illness,466,3077,3543,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
interfaces,Interfaces,57,4752,4809,high,case_only,2026-05-12
Journal of the National Comprehensive Cancer Network,The Journal of the National Comprehensive Cancer Network,2364,2443,4807,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of The National Comprehensive Cancer Network,The Journal of the National Comprehensive Cancer Network,2,2443,2445,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Science China-technological Sciences,Science China Technological Sciences,1,4807,4808,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
linguistics,Linguistics,3,4798,4801,high,case_only,2026-05-12
Information display,Information Display,1681,3114,4795,high,case_only,2026-05-12
"Vingtième siècle, revue d'histoire",Vingtième Siècle. Revue d'histoire,10,4780,4790,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Molecular Plant-microbe Interactions,Molecular Plant-Microbe Interactions,366,4423,4789,high,case_only,2026-05-12
Additive Manufacturing,Additive manufacturing,1939,2846,4785,high,case_only,2026-05-12
Structural And Multidisciplinary Optimization,Structural and Multidisciplinary Optimization,6,4779,4785,high,case_only,2026-05-12
Manuscripta Mathematica,manuscripta mathematica,419,4361,4780,high,case_only,2026-05-12
Manuscripta mathematica,manuscripta mathematica,4,4361,4365,high,case_only,2026-05-12
European Physical Journal A,The European Physical Journal A,4,4780,4784,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Canadian Journal of African Studies / Revue canadienne des études africaines,Canadian Journal of African Studies / Revue Canadienne des Études Africaines,2213,2561,4774,high,case_only,2026-05-12
Journal of Refractive Surgery,Journal of refractive surgery,917,3856,4773,high,case_only,2026-05-12
European journal of plastic surgery,European Journal of Plastic Surgery,89,4682,4771,high,case_only,2026-05-12
Frontiers in sustainable food systems,Frontiers in Sustainable Food Systems,6,4760,4766,high,case_only,2026-05-12
College Mathematics Journal,The College Mathematics Journal,1103,3661,4764,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Kinésithérapie la Revue,"Kinésithérapie, la Revue",114,4645,4759,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Medical Engineering & Physics,Medical Engineering and Physics,1528,2972,4500,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Medical Engineering &amp; Physics,Medical Engineering and Physics,257,2972,3229,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
GlycobiologyActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Glycobiology,25,4731,4756,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of food biochemistry,Journal of Food Biochemistry,473,4280,4753,high,case_only,2026-05-12
Journal of The Korean Society of Food Science and Nutrition,Journal of the Korean Society of Food Science and Nutrition,19,4734,4753,high,case_only,2026-05-12
Journal of Engineering,The Journal of Engineering,933,3818,4751,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of engineering,The Journal of Engineering,2,3818,3820,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Neuropsychiatry and Clinical Neurosciences,The Journal of Neuropsychiatry and Clinical Neurosciences,636,4014,4650,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of neuropsychiatry and clinical neurosciences,The Journal of Neuropsychiatry and Clinical Neurosciences,103,4014,4117,high,case_only,2026-05-12
Reviews in American history,Reviews in American History,91,4661,4752,high,case_only,2026-05-12
Survey of ophthalmology,Survey of Ophthalmology,321,4431,4752,high,case_only,2026-05-12
Advances in psychology,Advances in Psychology,1013,3684,4697,high,case_only,2026-05-12
advances in/psychology,Advances in Psychology,53,3684,3737,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Slavonic and East European Review,The Slavonic and East European Review,109,4629,4738,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
RoboticaActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Robotica,1,4732,4733,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Wellcome open research,Wellcome Open Research,51,4681,4732,high,case_only,2026-05-12
ToxicsActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Toxics,21,4710,4731,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Orthopaedic & Sports Physical Therapy,Journal of Orthopaedic and Sports Physical Therapy,290,4430,4720,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Orthopaedic &amp; Sports Physical Therapy,Journal of Orthopaedic and Sports Physical Therapy,5,4430,4435,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The journal of orthopaedic and sports physical therapy,Journal of Orthopaedic and Sports Physical Therapy,1,4430,4431,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Population studies,Population Studies,75,4650,4725,high,case_only,2026-05-12
Economic development and cultural change,Economic Development and Cultural Change,92,4632,4724,high,case_only,2026-05-12
Zeitschrift für die Gesamte Strafrechtswissenschaft,Zeitschrift für die gesamte Strafrechtswissenschaft,123,4601,4724,high,case_only,2026-05-12
Transportation Research Part D Transport and Environment,Transportation Research Part D: Transport and Environment,226,4492,4718,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Arctic,ARCTIC,90,4622,4712,high,case_only,2026-05-12
arctic,ARCTIC,1,4622,4623,high,case_only,2026-05-12
The journal of trauma and acute care surgery,Journal of Trauma and Acute Care Surgery,315,4347,4662,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of Trauma and Acute Care Surgery,Journal of Trauma and Acute Care Surgery,51,4347,4398,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Genetic Engineering & Biotechnology News,Genetic Engineering &amp; Biotechnology News,2120,2463,4583,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Genetic engineering & biotechnology news,Genetic Engineering &amp; Biotechnology News,126,2463,2589,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Nature geoscience,Nature Geoscience,6,4700,4706,high,case_only,2026-05-12
Psychological assessment,Psychological Assessment,1,4703,4704,high,case_only,2026-05-12
Scandinavian Journal of Medicine & Science in Sports,Scandinavian Journal of Medicine and Science in Sports,1550,3130,4680,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Scandinavian Journal of Medicine &amp; Science in Sports,Scandinavian Journal of Medicine and Science in Sports,24,3130,3154,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Heat and mass transfer,Heat and Mass Transfer,25,4675,4700,high,case_only,2026-05-12
AlcoholActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Alcohol,3,4696,4699,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Inventiones Mathematicae,Inventiones mathematicae,13,4685,4698,high,case_only,2026-05-12
Le mouvement social,Le Mouvement social,349,4349,4698,high,case_only,2026-05-12
ains · Anästhesiologie · Intensivmedizin · Notfallmedizin · Schmerztherapie,AINS - Anästhesiologie · Intensivmedizin · Notfallmedizin · Schmerztherapie,751,3944,4695,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
BJPsych open,BJPsych Open,104,4589,4693,high,case_only,2026-05-12
BJPsych OpenActionsSearch in PubMedSearch in NLM CatalogAdd to Search,BJPsych Open,2,4589,4591,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The International Journal of Maritime History,International Journal of Maritime History,1,4693,4694,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Industrial &amp; Engineering Chemistry Analytical Edition,Industrial & Engineering Chemistry Analytical Edition,2,4689,4691,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of applied entomology,Journal of Applied Entomology,462,4229,4691,high,case_only,2026-05-12
The journal of academic librarianship,The Journal of Academic Librarianship,265,4424,4689,high,case_only,2026-05-12
The Journal of the American Academy of Orthopaedic Surgeons,Journal of the American Academy of Orthopaedic Surgeons,1,4680,4681,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Global journal for research analysis,Global Journal For Research Analysis,1097,2877,3974,high,case_only,2026-05-12
GLOBAL JOURNAL FOR RESEARCH ANALYSIS,Global Journal For Research Analysis,702,2877,3579,high,case_only,2026-05-12
In vitro Cellular & Developmental Biology-Animal,In Vitro Cellular & Developmental Biology - Animal,57,4587,4644,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
In Vitro Cellular & Developmental Biology – Animal,In Vitro Cellular & Developmental Biology - Animal,32,4587,4619,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Bell System Technical Journal,Bell System Technical Journal,4,4670,4674,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Revue française d'allergologie,Revue Française d'Allergologie,2110,2564,4674,high,case_only,2026-05-12
Journal of Physics F Metal Physics,Journal of Physics F: Metal Physics,2,4666,4668,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Biochemical education,Biochemical Education,24,4643,4667,high,case_only,2026-05-12
Clays and clay minerals,Clays and Clay Minerals,103,4562,4665,high,case_only,2026-05-12
"Surgical Laparoscopy, Endoscopy &amp; Percutaneous Techniques","Surgical laparoscopy, endoscopy & percutaneous techniques",990,1800,2790,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Surgical Laparoscopy Endoscopy & Percutaneous Techniques,"Surgical laparoscopy, endoscopy & percutaneous techniques",954,1800,2754,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Surgical laparoscopy, endoscopy and percutaneous techniques","Surgical laparoscopy, endoscopy & percutaneous techniques",916,1800,2716,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Surgical Laparoscopy, Endoscopy & Percutaneous Techniques","Surgical laparoscopy, endoscopy & percutaneous techniques",5,1800,1805,high,case_only,2026-05-12
The Journal of general psychology,The Journal of General Psychology,65,4598,4663,high,case_only,2026-05-12
"Indian Journal of Dermatology, Venereology, and Leprology","Indian Journal of Dermatology, Venereology and Leprology",1068,2946,4014,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Indian journal of dermatology, venereology and leprology","Indian Journal of Dermatology, Venereology and Leprology",501,2946,3447,high,case_only,2026-05-12
Indian Journal of Dermatology Venereology and Leprology,"Indian Journal of Dermatology, Venereology and Leprology",147,2946,3093,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Human and Experimental Toxicology,Human & Experimental Toxicology,899,3701,4600,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Human &amp; Experimental Toxicology,Human & Experimental Toxicology,57,3701,3758,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Earth Planets and Space,"Earth, Planets and Space",98,4558,4656,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
International journal of rheumatic diseases,International Journal of Rheumatic Diseases,1,4654,4655,high,case_only,2026-05-12
Journal of the Royal Society Interface,Journal of The Royal Society Interface,953,3701,4654,high,case_only,2026-05-12
Revista Latino-americana De Enfermagem,Revista Latino-Americana de Enfermagem,397,4257,4654,high,case_only,2026-05-12
Isprs Journal of Photogrammetry and Remote Sensing,ISPRS Journal of Photogrammetry and Remote Sensing,827,3826,4653,high,case_only,2026-05-12
Revista iberoamericana,Revista Iberoamericana,141,4509,4650,high,case_only,2026-05-12
Hno,HNO,3,4644,4647,high,case_only,2026-05-12
HNOActionsSearch in PubMedSearch in NLM CatalogAdd to Search,HNO,1,4644,4645,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Research of the National Bureau of Standards,Journal of research of the National Bureau of Standards,1986,2662,4648,high,case_only,2026-05-12
JAMA dermatology,JAMA Dermatology,1288,3358,4646,high,case_only,2026-05-12
Nature Reviews. Cancer,Nature reviews. Cancer,150,4439,4589,high,case_only,2026-05-12
Nature reviews Cancer,Nature reviews. Cancer,38,4439,4477,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Nature Reviews Cancer,Nature reviews. Cancer,14,4439,4453,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Lancet Global Health,The Lancet Global Health,4,4634,4638,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Ibm Journal of Research and Development,IBM Journal of Research and Development,255,4382,4637,high,case_only,2026-05-12
British Journal of Aesthetics,The British Journal of Aesthetics,43,4594,4637,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of the American Board of Family Medicine,The Journal of the American Board of Family Medicine,1040,3591,4631,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of the American Board of Family Medicine,The Journal of the American Board of Family Medicine,4,3591,3595,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
IEEE transactions on neural systems and rehabilitation engineering,IEEE Transactions on Neural Systems and Rehabilitation Engineering,1116,3517,4633,high,case_only,2026-05-12
Journal of Hand Surgery: European Volume,Journal of Hand Surgery (European Volume),182,4419,4601,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The Journal of Hand Surgery: European Volume,Journal of Hand Surgery (European Volume),26,4419,4445,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"The Journal of hand surgery, European volume",Journal of Hand Surgery (European Volume),2,4419,4421,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Natural Hazards and Earth System Sciences,Natural hazards and earth system sciences,2058,2568,4626,high,case_only,2026-05-12
Current opinion in anaesthesiology,Current Opinion in Anaesthesiology,3,4619,4622,high,case_only,2026-05-12
Nutrition in clinical practice,Nutrition in Clinical Practice,622,4000,4622,high,case_only,2026-05-12
International journal of obstetric anesthesia,International Journal of Obstetric Anesthesia,693,3925,4618,high,case_only,2026-05-12
ACM Sigsoft Software Engineering Notes,ACM SIGSOFT Software Engineering Notes,163,4454,4617,high,case_only,2026-05-12
Pharmacology & Therapeutics,Pharmacology and Therapeutics,1182,3007,4189,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Pharmacology &amp; Therapeutics,Pharmacology and Therapeutics,424,3007,3431,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of neurosurgical anesthesiology,Journal of Neurosurgical Anesthesiology,1,4598,4599,high,case_only,2026-05-12
Journal of Wound Ostomy and Continence Nursing,"Journal of Wound, Ostomy and Continence Nursing",916,3671,4587,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Journal of Wound, Ostomy &amp; Continence Nursing","Journal of Wound, Ostomy and Continence Nursing",10,3671,3681,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Journal of Wound, Ostomy, &amp; Continence Nursing","Journal of Wound, Ostomy and Continence Nursing",1,3671,3672,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Psychonomic Bulletin &amp; Review,Psychonomic Bulletin & Review,4,4594,4598,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Energy technology,Energy Technology,21,4574,4595,high,case_only,2026-05-12
Computer Methods in Biomechanics & Biomedical Engineering,Computer Methods in Biomechanics and Biomedical Engineering,99,4495,4594,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Scientific Investigations Report,Scientific investigations report,38,4556,4594,high,case_only,2026-05-12
Computer Fraud & Security,Computer Fraud &amp; Security,508,3747,4255,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Computer fraud & security,Computer Fraud &amp; Security,337,3747,4084,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
International journal of research - granthaalayah,International Journal of Research -GRANTHAALAYAH,1884,2708,4592,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of Alternative and Complementary Medicine,The Journal of Alternative and Complementary Medicine,4,4588,4592,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of turbomachinery,Journal of Turbomachinery,738,3853,4591,high,case_only,2026-05-12
mammalia,Mammalia,434,4156,4590,high,case_only,2026-05-12
MammaliaActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Mammalia,1,4156,4157,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
International journal of machine tools & manufacture,International Journal of Machine Tools and Manufacture,146,4442,4588,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
IET Control Theory and Applications,Iet Control Theory and Applications,1370,2815,4185,high,case_only,2026-05-12
IET Control Theory & Applications,Iet Control Theory and Applications,396,2815,3211,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
IET control theory & applications,Iet Control Theory and Applications,1,2815,2816,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Kant Studien,Kant-Studien,145,4416,4561,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Kant-studien,Kant-Studien,16,4416,4432,high,case_only,2026-05-12
GerontologyActionsSearch in PubMedSearch in NLM CatalogAdd to Search,Gerontology,1,4575,4576,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
"Auris, nasus, larynx",Auris Nasus Larynx,244,4331,4575,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
fisheries,Fisheries,43,4531,4574,high,case_only,2026-05-12
Food science & technology,Food Science and Technology,5,4564,4569,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Food science and technology,Food Science and Technology,2,4564,4566,high,case_only,2026-05-12
Annals of Mathematical Statistics,The Annals of Mathematical Statistics,1,4564,4565,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Progress of theoretical physics. Supplement,Progress of Theoretical Physics Supplement,2,4549,4551,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
The journal of essential oil research,Journal of Essential Oil Research,90,4458,4548,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of medical systems,Journal of Medical Systems,26,4521,4547,high,case_only,2026-05-12
Revista de Enfermagem UFPE On Line,Revista de Enfermagem UFPE on line,26,4521,4547,high,case_only,2026-05-12
Journal of criminal justice,Journal of Criminal Justice,313,4230,4543,high,case_only,2026-05-12
International Journal for Numerical and Analytical methods in Geomechanics,International Journal for Numerical and Analytical Methods in Geomechanics,20,4521,4541,high,case_only,2026-05-12
Nanoscale advances,Nanoscale Advances,43,4494,4537,high,case_only,2026-05-12
Bijdragen tot de taal- land- en volkenkunde / Journal of the Humanities and Social Sciences of Southeast Asia,"Bijdragen tot de taal-, land- en volkenkunde / Journal of the Humanities and Social Sciences of Southeast Asia",2084,2452,4536,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
International Journal of Scientific Research in Science Engineering and Technology,"International journal of scientific research in science, engineering and technology",1643,2891,4534,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Journal of microelectromechanical systems,Journal of Microelectromechanical Systems,498,4034,4532,high,case_only,2026-05-12
THE JOURNAL OF JAPAN SOCIETY FOR CLINICAL ANESTHESIA,The Journal of Japan Society for Clinical Anesthesia,1868,2664,4532,high,case_only,2026-05-12
Appalachian heritage,Appalachian Heritage,33,4496,4529,high,case_only,2026-05-12
Computer Law and Security Review,Computer law & security review,1452,1644,3096,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Computer Law &amp; Security Review,Computer law & security review,1384,1644,3028,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Computer Law & Security Review,Computer law & security review,48,1644,1692,high,case_only,2026-05-12
Quality and Quantity,Quality & Quantity,1117,3229,4346,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Quality &amp; Quantity,Quality & Quantity,182,3229,3411,high,punctuation_html_leading_the_ampersand_noise,2026-05-12
Revista Da Escola De Enfermagem Da Usp,Revista da Escola de Enfermagem da USP,48,4474,4522,high,case_only,2026-05-12
Mathematical Notes of the Academy of Sciences of the USSR,Mathematical notes of the Academy of Sciences of the USSR,21,4493,4514,high,case_only,2026-05-12
Journal of clinical lipidology,Journal of Clinical Lipidology,1445,3068,4513,high,case_only,2026-05-12
Journal of neuro-ophthalmology,Journal of Neuro-Ophthalmology,1145,3280,4425,high,case_only,2026-05-12
